NO,TANGGAL REGISTRASI,KODE KLINIK,STATUS,NAMA KLINIK,ALAMAT,KELURAHAN,KECAMATAN,PUSKESMAS,NOMOR IZIN OPERASIONAL KLINIK,TANGGAL IJIN TERBIT,TANGGAL IJIN BERAKHIR,NAMA PENANGGUNGJAWAB,JENIS KLINIK (KECANTIKAN/NON KECANTIKAN),JENIS PELAYANAN,JENIS KLINIK,KAB/KOTA,PROVINSI,"KHUSUS KLINIK YANG DIMILIKI KEMENTERIAN/LEMBAGA, 
ISIKAN DI KOLOM INI DENGAN NAMA KEMENTERIAN/LEMBAGANYA",KERJASAMA BPJS,SURVEI AKREDITASI ,KODE FASYANKES,LPA,STATUS AKREDITASI SAAT INI,NO. SERTIFIKAT AKREDITASI,MASA BERLAKU AKREDITASI,RENCANA SURVEI AKREDITASI (TAHUN),RENCANA SURVEI AKREDITASI (BULAN),SUMBER PENDANAAN,LOGIN KE APLIKASI DFO,LOGIN KE APLIKASI MUTUFASYANKES,LOGIN KE APLIKASI ASPAK,LOGIN KE APLIKASI SISDMK,KETERANGAN,,,,,,,,,,,,,
1,08-12-2020,1231889,Aktif,KLINIK PRATAMA HUTAMA MEDIKA,JL. PUSPANJOLO SELATAN NO. 59A,Bojongsalaman,Semarang Barat,Karangayu,6092200379060000,"Saturday, February 12, 2022","Friday, February 12, 2027","dr. Sarwoko Oetomo, MMR",Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300001,Lembaga Akreditasi Fasilitas Kesehatan Primer (LAFKESPRI),PARIPURNA,YM.02.01/D/12605/202,14 Oktober 2023 s.d 14 Oktober 2028,2023,OKTOBER,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
2,09-12-2020,1231457,Aktif,KLINIK PRATAMA KEN WARAS,JL. JATI RAYA BLOK H NO.12 B,Pedalangan,Banyumanik,Srondol,81203150716830000,"Wednesday, August 9, 2023","Wednesday, August 9, 2028",dr. Juron Respati Hudoyo,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300002,Lembaga Akreditasi Independen Semar Bhakti Nusantara (LAI SBN),PARIPURNA, YM.02.01/D/9864/2023,08 Agustus 2023 s.d 08 Agustus 2028,2023,AGUSTUS,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
3,10-12-2020,1234604,Aktif,KLINIK PRATAMA PARMA,JL. BRIGJEN SUDIARTO NO. 384,Palebon,Pedurungan,Tlogosari Wetan,25082100104550000,15/11/2021,15/11/2026,dr. Purtjahyanto,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300003,Lembaga Akreditasi Fasyankes Seluruh Indonesia (LASKESI),UTAMA,YM.02.01/D/17555/2023, 02 Desember 2023 s.d 02 Desember 2028,2023,OKTOBER,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
4,10-12-2020,1232112,Aktif,KLINIK PRATAMA RAHMAT MEDIKA,JL. KEDUNGMUNDU NO. 24-A SEMARANG,Sambiroto,Tembalang,Kedungmundu,445.5/41/DPM-PTSP/IPMDS.41/IX/2020,"Monday, March 9, 2020","Sunday, March 9, 2025",dr. M. Fariz Wafaul Ahyar,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300004,Lembaga Akreditasi Independen Semar Bhakti Nusantara (LAI SBN),PARIPURNA,YM.02.01/D/8747/2023,20 Juli 2023 s.d 20 Juli 2028,2023,JULI,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
5,10-12-2020,1234972,Aktif,KLINIK PRATAMA JAYA MEDIKA,"JL. SRIWIJAYA NO. 57, SEMARANG",Candi,Candisari,Kagok,91200051216040000,14/08/2023,14/03/2028,dr. Suparni Anik Indrayati,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300005,Lembaga Akreditasi Independen Semar Bhakti Nusantara (LAI SBN),PARIPURNA,YM.02.01/D/16432/2023, 28 Oktober 2023 s.d 28 Oktober 2028 ,2023,OKTOBER,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
6,10-12-2020,1234599,Aktif,KLINIK MARDI MULYA I,JL. MAJAPAHIT NO 251.A,Gemah,Pedurungan,Tlogosari Kulon,445.5/46/DPM-PTSP/IPMDS.46/X/2020,13/10/2020,13/10/2025,dr. Ary Kusuma Dewi,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Tidak,YA,33740300006,Lembaga Akreditasi Independen Semar Bhakti Nusantara (LAI SBN),PARIPURNA,YM.02.01/D/5446/2024,27 Januari 2024 s.d 27 Januari 2029,2024,,Mandiri,,,,,,,,,,,,,,,,,,
7,10-12-2020,1237351,Aktif,KLINIK PRATAMA DIPONEGORO I,JL. PROF SOEDHARTO SH TEMBALANG SEMARANG 50275,Tembalang,Tembalang,Rowosari,81202120522240000,20/04/2023,20/04/2028,"dr. Akhmad Ismail, MSi.Med",Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300007,"Lembaga Akreditasi Puskesmas, Klinik, dan Laboratorium Indonesia (LAPKLIN)",PARIPURNA,YM.02.01/D/12870/2023,26 Oktober 2023 s.d 26 Oktober 2028,2023,OKTOBER,Mandiri,,,,,,,,,,,,,,,,,,
8,10-12-2020,1231852,Aktif,KLINIK PRATAMA PURI HUSADA,JL. SIRAJUDIN NO. 29 TEMBALANG SEMARANG,Tembalang,Tembalang,Srondol,6092200379060000,"Monday, July 11, 2022","Sunday, July 11, 2027",dr.R Purtjahjanto,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,,,,,,,2023,OKTOBER,,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
9,10-12-2020,1231884,Aktif,KLINIK NAYAKA HUSADA 01,RUKO SILIWANGI PLAZA BLOK D2,Karangayu,Semarang Barat,Karangayu,445.5/16/DPM-PTSP/IPMDS.16/IV/2021,14/04/2021,14/04/2026,dr.Anton Hermawan,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300009,Lembaga Akreditasi Fasyankes Seluruh Indonesia (LASKESI),PARIPURNA,YM.02.01/D/13532/2023,07 November 2023 s.d 07 November 2028,2023,NOVEMBER,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
10,10-12-2020,1235275,Aktif,RAHMATIKA,"KP. PENGKOL RT 5 RW 1 MANGUNSARI, GUNUNGPATI, SEMARANG",Mangunsari,Gunungpati,Gunungpati,445.5/30/DPM-PTSP/IPMDS.30/VI/2020,29/06/2020,29/06/2025,"dr. Tuti Hapsari Pujadi, MKes",Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300010,Aski Klinik Indonesia (ASKIN),PARIPURNA,YM.02.01/D/14696/2023,27 Oktober 2023 s.d 27 Oktober 2028,2023,OKTOBER,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
11,10-12-2020,1231875,Aktif,KLINIK NAYAKA HUSADA 03,JL. MR. SUTAN SYAHRIR RT.001/RW.003,Trimulyo,Genuk,Genuk,91201055139150000,14/11/2022,14/11/2027,dr.Athalia Tsanya Bayu Putri,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300011,Lembaga Akreditasi Fasyankes Seluruh Indonesia (LASKESI),PARIPURNA,YM.02.01/D/11835/2023,17 Oktober 2023 s.d 17 Oktober 2028,2023,OKTOBER,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
12,10-12-2020,1232621,Aktif,KLINIK RAFAEL,JL. PLAMPITAN NO. 33,Bangunharjo,Semarang Tengah,Poncol,445.5/48/DPM-PTSP/IPMDS.48/X/2019,30/10/2019,30/10/2024,dr.Rikky Dwiyanto Sulistyo,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300012,Lembaga Akreditasi Fasyankes Seluruh Indonesia (LASKESI),PARIPURNA,YM.02.01/D/9262/2023,30 Juli 2023 s.d 30 Juli 2028 ,2023,JULI,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
13,10-12-2020,1232101,Aktif,KLINIK PRATAMA SANA MEDIKA,"JL.KEDUNGJATI NO.26 RANDUSARI, SEMARANG SELATAN, KOTA SEMARANG",Randusari,Semarang Selatan,Pandanaran,445.5/31/DPM-PTSP/IPMDS.31/VII/2021,22/07/2021,22/07/2026,dr. Noor Widiana Dewi,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300013,Lembaga Akreditasi Fasyankes Seluruh Indonesia (LASKESI),PARIPURNA,YM.02.01/D/9875/2023,21 Agustus 2023 s.d 21 Agustus 2028 ,2023,AGUSTUS,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
14,10-12-2020,1231870,Aktif,KLINIK KEMBANGARUM MEDICA,JL. UNTUNG SUROPATI NO. 5 A SEMARANG,Kalipancur,Ngaliyan,Purwoyoso,445.5/47/DPM-PTSP/IPMDS.47/X/2019,30/10/2019,30/10/2024,dr.Ulfayanti Inthan,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300014,Lembaga Akreditasi Fasyankes Seluruh Indonesia (LASKESI),PARIPURNA,YM.02.01/D/9286/2023,06 Agustus 2023 s.d 06 Agustus 2028,2023,AGUSTUS,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
15,10-12-2020,1232099,Aktif,KLINIK PRATAMA IBU TERESA,JL. PAWIYATAN LUHUR IV / 1 BENDAN DUWUR SEMARANG 50234,Bendan Ngisor,Gajahmungkur,Pegandan,445.5/18/DPM-PTSP/IPMDS.18/IV/2019,"Monday, February 4, 2019","Sunday, February 4, 2024",dr. RB Bambang Witjahjo,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300015,Lembaga Akreditasi Independen Semar Bhakti Nusantara (LAI SBN),PARIPURNA,YM.02.01/D/18921/2023,09 Desember 2023 s.d 09 Desember 2028 ,2023,DESEMBER,Mandiri,,,,,,,,,,,,,,,,,,
16,14-12-2020,1231886,Aktif,KLINIK PRATAMA KUSUMA MEDIKA,JALAN MANGGA NO.1 RT005/002 SRONDOL WETAN BANYUMANIK SEMARANG,Srondol Wetan,Banyumanik,Srondol,445.5/41/DPM-PTSP/IPMDS.41/X/2019,18/10/2019,18/10/2024,dr.Irma Irene Andi Lolo,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300016,"Lembaga Akreditasi Puskesmas, Klinik, dan Laboratorium Indonesia (LAPKLIN)",PARIPURNA,YM.02.01/D/13849/2023,04 November 2023 s.d 04 November 2028,2023,NOVEMBER,Mandiri,,,,,,,,,,,,,,,,,,
17,14-12-2020,1234614,Aktif,KLINIK PRATAMA BINA SEHAT,JL. KALIMAS RAYA NO. 29 SEMARANG,Panggung Lor,Semarang Utara,Bandarharjo,2.20106E+15,16/12/2021,16/12/2026,dr. Ign Benny Purwanto,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300017,Lembaga Akreditasi Fasyankes Seluruh Indonesia (LASKESI),PARIPURNA,YM.02.01/D/16255/2023,17 November 2023 s.d 17 November 2028 ,2023,NOVEMBER,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
18,17-12-2020,1238368,Aktif,KLINIK PRATAMA GRAHA SYIFA,"JL. TALANG BENGKOK NO. 3 RT 05 RW 03  PATEMON GUNUNGPATI, SEMARANG",Patemon,Gunungpati,Sekaran,9.1204E+16,"Saturday, May 6, 2023","Saturday, May 6, 2028",dr. Agustina,Non Kecantikan,Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300018,Lembaga Akreditasi Fasyankes Seluruh Indonesia (LASKESI),PARIPURNA,YM.02.01/D/9476/2023,13 Agustus 2023 s.d 13 Agustus 2028,2023,AGUSTUS,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
19,29-12-2020,1233718,Aktif,KLINIK PRATAMA CAHAYA BUNDA,"JL. RM. HADI SOEBENO 1/1 WATES, NGALIYAN, KOTA SEMARANG",Wates,Ngaliyan,Ngaliyan,2.20004E+15,28/02/2023,28/02/2028,dr.Agung Setiawan,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,31-12-2020,1237913,Aktif,KLINIK MEDISKA SEMARANG,JALAN IMAM BONJOL NO. 103 KELURAHAN PURWOSARI,Purwosari,Semarang Utara,Bulu Lor,9.12E+16,"Thursday, July 6, 2023","Thursday, July 6, 2028",dr. Riana Budhi Sarjanti,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,PT KAI,Ya,YA,33740300020,"Lembaga Akreditasi Puskesmas, Klinik, dan Laboratorium Indonesia (LAPKLIN)",PARIPURNA,YM.02.01/D/2975/2024,31 Desember 2023 s.d 31 Desember 2028 ,2023,DESEMBER,,,,,,,,,,,,,,,,,,,
21,01-01-2021,1234062,Aktif,KLINIK MUGISEHAT,JL. JATINGALEH III NO.37 RT.02 RW.04 CANDISARI SEMARANG,Jatingaleh,Candisari,Candilama,2.20006E+15,30/05/2023,30/05/2028,dr. Sri Mugiarti,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300021,"Lembaga Akreditasi Puskesmas, Klinik, dan Laboratorium Indonesia (LAPKLIN)",PARIPURNA,YM.02.01/D/9868/2023,26 Agustus 2023 s.d 26 Agustus 2028 ,2023,AGUSTUS,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
22,02-01-2021,1231476,Aktif,KLINIK EKA SAKTI,JALAN MERAK NO. 3 TANJUNGMAS,Tanjung Mas,Semarang Utara,Bandarharjo,445.5/40/DPM-PTSP/IPMDS.40/IX/2020,"Monday, March 9, 2020","Sunday, March 9, 2025",dr.Annisa Falihati Salsabila,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300022,Lembaga Akreditasi Fasyankes Seluruh Indonesia (LASKESI),PARIPURNA, YM.02.01/D/16742/2023, 26 November 2023 s.d 26 November 2028 ,2023,NOVEMBER,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
23,02-01-2021,1231881,Aktif,KLINIK PAMULARSIH,"JALAN SRININDITO BARAT NO. 20A RT 10 RW 1, NGEMPLAK SIMONGAN BARAT",Ngemplak Simongan,Semarang Barat,Ngemplak Simongan,2.15001E+15,29/12/2023,29/12/2028,dr. Hafshah,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300023,Lembaga Akreditasi Fasyankes Seluruh Indonesia (LASKESI),PARIPURNA,YM.02.01/D/35662/2024, 24 Februari 2024 s.d 24 Februari 2029,2023,NOVEMBER,,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
24,06-01-2021,1237317,Aktif,KLINIK PRATAMA DWI PUSPITA PEDURUNGAN,"JL. ZEBRA TENGAH NO. 58 RT. 06 RW. 05 PEDURUNGAN KIDUL, PEDURUNGAN SEMARANG 50192",Mlatiharjo,Semarang Timur,Bugangan,445.5/24/DPM-PTSP/IPMDS.24/VI/2021,"Saturday, March 6, 2021","Friday, March 6, 2026",dr. Devy Puspitasari,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300024,Lembaga Akreditasi Independen Semar Bhakti Nusantara (LAI SBN),PARIPURNA,YM.02.01/D/16345/2023,16 November 2023 s.d 16 November 2028,2023,NOVEMBER,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
25,07-01-2021,1231883,Aktif,KLINIK PRATAMA SURYA MEDIKA PLAMONGAN,JL. BRIGJEND SUDIARTO NO. 23A SEMARANG,Pedurungan Kidul,Pedurungan,Tlogosari Wetan,8.12002E+16,22/11/2023,22/11/2028,dr. Istianah,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300025,Lembaga Akreditasi Fasilitas Kesehatan Primer (LAFKESPRI),PARIPURNA,YM.02.01/D/14432/2023, 18 November 2023 s.d 18 November 2028 ,2023,NOVEMBER,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
26,07-01-2021,1236723,Aktif,KLINIK 24 JAM MARDI MULYA IV,JL. KEDUNGMUNDU NO 11-11A SEMARANG,Jomblang,Candisari,Candilama,8.12011E+16,"Thursday, March 10, 2022","Wednesday, March 10, 2027",dr. Rahma Puspita Sari,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300026,Lembaga Akreditasi Independen Semar Bhakti Nusantara (LAI SBN),PARIPURNA,YM.02.01/D/15716/2023,10 November 2023 s.d 10 November 2028,2023,NOVEMBER,Mandiri,,,,,,,,,,,,,,,,,,
27,12-01-2021,1232107,Aktif,KLINIK PRATAMA MITRA HUSADA,"JL. SENDANGGUWO RAYA NO. 12, KEL. GEMAH KEC. PEDURUNGAN, KOTA SEMARANG",Gemah,Pedurungan,Tlogosari Kulon,445.5/26/DPM-PTSP/IPMDS.26/VI/2020,16/06/2020,16/06/2025,dr. Hana Setialingsih,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,
