No,EMAIL,TELEPON,KODE KLINIK,NAMA KLINIK,JENIS KLINIK,JENIS PELAYANAN,TANGGAL REGISTRASI,ALAMAT,CAMAT,KAB/KOTA,PROPINSI,PEMILIK,NAMA PEMILIK,PENYELENGGARA,PELAKU USAHA,KERJASAMA BPJS,BERJEJARING PUSKESMAS,PROGRAM PRIORITAS,NAMA PUSKESMAS,KODE BPJS,AKREDITASI
1,hutamamedika@gmail.com,081229819580_,33740300001,Klinik Pratama Hutama Medika,Pratama,Non Rawat Inap,12/8/2020,Jl. Puspanjolo Selatan no. 59A,SEMARANG BARAT,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,CV UTAMA SEJAHTERA,Masyarakat/Swasta,Badan Usaha,Ya,Ya,,KARANG AYU,0173b068,Sudah
2,juronrh@gmail.com,8112753737,33740300002,Klinik Pratama Ken Waras,Pratama,Non Rawat Inap,12/9/2020,Jl. Jati Raya blok H no.12 B,BANYUMANIK,Kota Semarang,Jawa Tengah,Perorangan,CV KEN WARAS,Masyarakat/Swasta,Badan Usaha,Ya,Ya,,SRONDOL,0173B031,Belum
3,drpurtjahjanto@gmail.com,81225683524,33740300003,Klinik Pratama Parma,Pratama,Non Rawat Inap,12/10/2020,Jl. Brigjen Sudiarto No. 384,PEDURUNGAN,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,CV Puri Parma,Masyarakat/Swasta,Badan Usaha,Ya,Ya,,TELOGOSARI WETAN,0173B025,Sudah
4,medikarahmat@gmail.com,85741524223,33740300004,Klinik Pratama Rahmat Medika,Pratama,Non Rawat Inap,12/10/2020,JL. KEDUNGMUNDU NO. 24-A SEMARANG,TEMBALANG,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,CV. RAHMAT MEDIKA,Masyarakat/Swasta,Badan Usaha,Ya,Ya,"TB,Hipertensi,Diabetes Melitus,Lainnya",KEDUNG MUNDU,0173B056,Sudah
5,klinikjm@yahoo.com,8122806894,33740300005,Klinik Pratama Jaya Medika,Pratama,Non Rawat Inap,12/10/2020,"Jl. SRIWIJAYA NO. 57, SEMARANG",CANDISARI,Kota Semarang,Jawa Tengah,Perorangan,dr. Suparni Anik Indrayati,Masyarakat/Swasta,Badan Usaha,Ya,Ya,,KAGOK,0173B034,Sudah
6,klinikmardimulya@gmail.com,087832630688_,33740300006,Klinik Mardi Mulya I,Pratama,Non Rawat Inap,12/10/2020,JL. MAJAPAHIT NO 251.A,PEDURUNGAN,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,PT ADYATMA NUGRAHA LESTARI,Masyarakat/Swasta,Badan Hukum,Tidak,Tidak,,TELOGOSARI KULON,,Belum
7,diponegoro648@gmail.com,081325871989_,33740300007,Klinik Pratama Diponegoro I,Pratama,Non Rawat Inap,12/10/2020,JL. PROF SOEDHARTO SH TEMBALANG SEMARANG 50275,TEMBALANG,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,PT UNDIP MAJU,Masyarakat/Swasta,Badan Hukum,Ya,Ya,,ROWOSARI,0173B072,Belum
8,purihusada01@gmail.com,085256560956_,33740300008,Klinik Pratama Puri Husada,Pratama,Non Rawat Inap,12/10/2020,Jl. Sirajudin No. 29 Tembalang Semarang,TEMBALANG,Kota Semarang,Jawa Tengah,Perorangan,CV PURI HUSADA (R. A. Doxy Suryatmirah),Masyarakat/Swasta,Badan Usaha,Ya,Tidak,,ROWOSARI,0173B071,Belum
9,kliniknayakahusada01@gmail.com,6.28214E+12,33740300009,Klinik Nayaka Husada 01,Pratama,Non Rawat Inap,12/10/2020,RUKO SILIWANGI PLAZA BLOK D2,SEMARANG BARAT,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,PT NAYAKA ERA HUSADA,Masyarakat/Swasta,Badan Hukum,Ya,Ya,,KARANG AYU,0173U222,Sudah
10,koesoema93@yahoo.com,8.82006E+11,33740300010,RAHMATIKA,Pratama,Non Rawat Inap,12/10/2020,"Kp. Pengkol RT 5 RW 1 Mangunsari, Gunungpati, Semarang",GUNUNGPATI,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,CV RAHMATIKA HASANAH,Masyarakat/Swasta,Badan Usaha,Ya,Ya,,GUNUNGPATI,0173b064,Belum
